Institution;Adresse
Deutsches Theater / Kammerspiele;Schumannstra§e 13,10117 Berlin
VolksbŸhne;Rosa-Luxemburg-Platz,10178 Berlin
Maxim Gorki Theater;Am Festungsgraben 2,10117 Berlin
Berliner Ensemble;Bertolt-Brecht-Platz 1,10117 Berlin
Hebbel am Ufer (HAU 1, 2, 3);Hallesches Ufer 32,10963 Berlin
SchaubŸhne am Lehniner Platz;KurfŸrstendamm 153,10709 Berlin
Renaissance Theater;Knesebeckstra§e 100,10623 Berlin
Theater an der Parkaue;Parkaue 29,10367 Berlin
Grips Theater;Altonaer Str. 22,10557 Berlin
Theater Strahl;Martin-Luther-Stra§e 77,10825 Berlin
Canstanza Macras;Klosterstra§e 44,10179 Berlin
Nico and the Navigators;Husemannstr. 31, 10435 Belrin
Rimini Protokoll;Tempelhofer Ufer 10,10963 Berlin
Theater im Palais;Am Festungsgraben 1,10117 Berlin
Sophiens¾le;Sophienstra§e 18,10178 Berlin
Theaterdiscounter;Klosterstra§e 44,10179 Berlin
Theater '89;Torstra§e 216, 10115 Berlin
Vaganten BŸhne GemeinnŸtzige;Kantstra§e 12A,10623 Berlin
Neukšllner Oper;Karl-Marx-Stra§e 131-133,12043 Berlin
Kleines Theater am SŸdwestkorso GmbH;SŸdwestkorso 65,12161 Berlin
Ballhaus Naunynstra§e;Naunynstra§e 27,10997 Berlin
Friedrichstadt-Palast;Friedrichstra§e 107,10117 Berlin
Sasha Waltz & Guests;Sophienstra§e 3,10178 Berlin
JŸdisches Theater;Meinekestra§e 24,10719 Berlin
BŸhnen am KŸrfŸrstendamm;KurfŸrstendamm 206,10719 Berlin
Schlosspark Theater;Schlo§stra§e 48,12165 Berlin
Deutsche Oper Berlin;Bismarckstra§e 35,10627 Berlin
Staatsoper Unter den Linden;Unter den Linden 7,10117 Berlin
Komische Oper Berlin;Behrenstra§e 55-57,10117 Berlin
Staatsballett;Bismarckstra§e 110,10625 Berlin
Stiftung Berliner Philharmoniker;Herbert-von-Karajan-Stra§e 1,10785 Berlin
Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt;Gendarmenmarkt,10117 Berlin
Rundfunk-Orchester und -Chšre GmbH;Charlottenstra§e 56,10117 Berlin
Literarisches Colloquium Berlin (LCB);Am Sandwerder 5,14109 Berlin
Literaturhaus Berlin;Fasanenstra§e 23,10719 Berlin
Literaturforum im Brecht-Haus;Chausseestra§e 125,10115 Berlin
literaturWERKstatt berlin;Knaackstra§e 97,10435 Berlin
LesArt - Berliner Zentrum fŸr Kinder- und Jugendliteratur;Weinmeisterstra§e 5,10178 Berlin
ConSense - Ges. zur Fšrderung von Kultur mbH (Kulturbrauerei);Schšnhauser Allee 36,10435 Berlin
RambaZamba e.V.;Schšnhauser Allee 36-39,10435 Berlin
ufa-fabrik e.V.;Viktoriastra§e 10-18,12105 Berlin
Neue Babylon Berlin GmbH;Rosa-Luxemburg-Stra§e 30,10178 Berlin
Stiftung Berlinische Galerie;Alte Jakobstra§e 124-128, 10969 Berlin
Stiftung Bršhan-Museum;Schlo§stra§e 1a, 14059 Berlin
BrŸcke Museum;Bussardsteig 9, 14195 Berlin
Stiftung Deutsches Technikmuseum Berlin;Trebbiner Str. 9, 10963 Berlin
Bauhaus-Archiv;Klingelhšferstra§e 14, 10785 Berlin
Stiftung Stadtmuseum Berlin;Poststra§e 13, 10178 Berlin
Stiftung DomŠne Dahlem;Kšnigin-Luise-Stra§e 49, 14195 Berlin
Jugend im Museum e.V.;Genthiner Str. 38, 10785 Berlin
Schwules Museum;LŸtzowstra§e 73, 10785 Berlin
Werkbundarchiv - Museum der Dinge;Oranienstra§e 25, 10999 Berlin
Stiftung Georg-Kolbe-Museum;Sensburger Allee 25, 14055 Berlin
Altes Museum mit Antikensammlung - Museumsinsel;Am Lustgarten, 10178 Berlin
Alte Nationalgalerie - Museumsinsel;Bodestra§e 1-3, 10178 Berlin
Bodemuseum mit Skulpturensammlung, Museum fŸr Byzantinische Kunst und MŸnzkabinett - Museumsinsel;Am Kupfergruben, 10117 Berlin
Neues Museum mit €gyptisches Museum, Museum fŸr Vor- und FrŸhgeschichte - Museumsinsel;Bodestra§e 1-3, 10178 Berlin
Pergamonmuseum mit Antikensammlung, Museum fŸr Islamische Kunst, Vorderasiatischem Museum, MŸnzkabinett - Musuemsinsel;Bodestra§e 1-3, 10178 Berlin
Friedrichswerdersche Kirche - Museumsinsel;Werderscher Markt, 10117 Berlin
Hamburger Bahnhof - Tiergarten;Invalidenstra§e 50-51, 10557 Berlin
Neue Nationalgalerie - Kulturforum;Potsdamer Stra§e 50, 10785 Berlin
GemŠldegalerie - Kulturforum (Zentralkasse) mit Kunstbibliothek und Kupferstichkabinett;MatthŠikirchplatz, 10785 Berlin
Kunstgewerbemuseum - Kulturforum;MatthŠikirchplatz, 10785 Berlin
Kunstgewerbemuseum - Schloss Kšpenick;Alt-Kšpenick 1, 12557 Berlin
Ethnologisches Museum - Museen Dahlem (Zentralkasse) mit Museum EuropŠischer Kulturen und Museum fŸr Asiatische Kunst;Lansstra§e 8, 14195 Berlin
Museum fŸr Fotografie - Charlottenburg;Jebensstra§e 2, 10623 Berlin
Museum Berggruen - Charlottenburg;Schlo§stra§e 1, 14059 Berlin
Sammlung Scharf-Gerstenberg - Charlottenburg;Schlo§stra§e 70, 14059 Berlin
Musikinstrumenten-Museum;Tiergartenstra§e 1, 10785 Berlin
Staatsbibliothek;Unter den Linden 8, 10117 Berlin
Humboldt-Box;Schlo§platz 5, 10178 Berlin
"Schloss Charlottenburg (Neuer Pavillon; Belvedere; Mausoleum)";Spandauer Damm 20-24, 14059 Berlin
Pfaueninsel;Pfauensinel
"Park Glienicke (Schloss; Casino)";Kšnigstra§e 36, 14109 Berlin
"Jagdschloss Grunewald (Schloss; Jagdzeugmagazin)";HŸttenweg 100, 14193 Berlin
Schloss Schšnhausen;Tschaikowskistra§e 1, 13156 Berlin
Stiftung Berliner Mauer;Bernauer Str. 111,13355 Berlin
TrŠgerverein Haus der Wannseekonferenz;Am Gro§en Wannsee 56-58,14109 Berlin
Stiftung GedenkstŠtte Berlin-Hohenschšnhausen;Genslerstra§e 66,13055 Berlin
GedenkstŠtte Deutscher Widerstand;Stauffenbergstra§e 13-14,10785 Berlin
Stiftung Topographie des Terrors;Niederkirchnerstra§e 8,10963 Berlin
Dokumentationszentrum NS-Zwangsarbeit Berlin-Schšneweide;Britzer Str. 5,12439 Berlin
Kunst-Werke Berlin - Institute for Contemporary Art;Auguststra§e 69,10117 Berlin
KŸnstlerhaus Bethanien (KHB);Kottbusser Str. 10,10999 Berlin
Haus am Waldsee e.V.;Argentinische Allee 30,14163 Berlin
Stiftung Zentral- und Landesbibliothek Berlin;Breite Stra§e 30-36,10178 Berlin
Landesarchiv Berlin;Eichborndamm 115,13403 Berlin
Theater Thikwˆ;Fidicinstra§e 40,10965 Berlin
SheShePop;Mariannenpl. 2,10997 Berlin
Zeitgenšssische Oper Berlin;Schwedter Str. 269
Theater auf der Zitadelle;Am Juliusturm 64,13599 Berlin
Schlossplatztheater;Alt-Kšpenick 31,12555 Berlin
Theater o.N.;Kollwitzstra§e 53,10405 Berlin
andcompany & Co;Mariannenplatz 2, 10997 Berlin
Fliegendes Theater;Urbanstra§e 100,10967 Berlin
ATZE Musiktheater;Luxemburger Str. 20,13353 Berlin
Das Weite Theater;Parkaue 23,10367 Berlin
Das Helmi;Pappelallee 15,10437 Berlin
Platypus Theater;Markgrafenstra§e 87, 10969 Berlin
Lubricat;Adalbertstr.4, 10999 Berlin
Gob Squad;Skalitzer Stra§e 59, 10997 Berlin
English Theatre Berlin;Fidicinstra§e 40,10965 Berlin
aufBruch;Pappelallee 7, 10437 Berlin
Hans Wurst Nachfahren;Gleditschstra§e 5,10781 Berlin
Novoflot;Wallstra§e 32c, 10179 Berlin
Tanzcompanie Rubato;Karl-Kunger Str. 13, 12435 Berlin
cie toula limnaios;Am Friedrichshain 33, 10407 Berlin
Tanztage Berlin;Sophienstra§e 18,10178 Berlin
Ballhaus Ost;Pappelallee 15,10437 Berlin
Theaterkapelle;Boxhagener Str. 99,10245 Berlin
Heimathafen Neukšlln;Karl-Marx-Stra§e 141,12043 Berlin
Tanzfabrik Berlin e.V.;Uferstra§e 23,13357 Berlin
Dock 11;Kastanienallee 79,10435 Berlin
Laborgras;Gro§beerenstra§e 56E, 10965 Berlin
ada Studio & BŸhne;Uferstra§e 8/23, 13357 Berlin
