Institution;2013;2014;Gruppe
Deutsches Theater / Kammerspiele;189.135;180.769;1
Volksbühne;175.393;170.205;1
Maxim Gorki Theater;69.745;101.035;1
Berliner Ensemble;228.207;231.151;1
Hebbel am Ufer (HAU 1, 2, 3);65.979;59.830;1
Schaubühne am Lehniner Platz;168.235;183.721;1
Renaissance Theater – Neue Theater Betriebs-GmbH;80.702;87.236;1
Theater an der Parkaue;96.268;85.587;2
Grips Theater;91.848;91.233;2
Theater Strahl;18.728;19.114;3
Canstanza Macras / Dorkypark GmbH;15.063;10.161;3
Nico and the Navigators;6.271;7.421;3
Rimini Protokoll (Rimini Apparat GbR);23.390;39.556;3
Theater im Palais - Theaterverein am Festungsgraben;12.151;11.072;3
Sophiensæle;23.119;24.785;3
Theaterdiscounter;4.047;3.867;3
Theater '89;6.712;6.356;3
Vaganten Bühne Gemeinnützige;15.425;13.636;3
Neuköllner Oper;26.305;19.666;3
Kleines Theater am Südwestkorso GmbH;12.440;9.395;3
Ballhaus Naunynstraße (KulturSPRÜNGE e.V.);19.505;21.820;3
cie. toula limnaios;-;23.266;3
prime time theater;-;43.714;3
Friedrichstadt-Palast;522.209;472.532;3
Sasha Waltz & Guests;47.173;63.087;3
Jüdisches Theater;15.450;-;3
Bühnen am Kürfürstendamm;458.896;420.475;4
Schlosspark Theater;102.088;107.997;4
Deutsche Oper Berlin;234.917;209.163;5
Staatsoper Unter den Linden;224.790;188.282;5
Komische Oper Berlin;189.397;217.122;5
Staatsballett;123.103;100.072;5
Stiftung Berliner Philharmoniker;260.164;274.765;6
Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt;163.343;155.834;6
Rundfunk-Orchester und -Chöre GmbH;218.285;214.716;6
Literarisches Colloquium Berlin (LCB);10.870;9.643;7
Literaturhaus Berlin;14.177;10.935;7
Literaturforum im Brecht-Haus (Gesellschaft für Sinn und Form e.V.);6.967;6.703;7
literaturWERKstatt berlin (Literaturbrücke Berlin e.V.);16.756;18.731;7
LesArt - Berliner Zentrum für Kinder- und Jugendliteratur;9.031;8.693;7
ConSense - Ges. zur Förderung von Kultur mbH (Kulturbrauerei);58.091;68.584;8
RambaZamba e.V.;12.438;9.728;8
ufa-fabrik e.V.;34.770;35.541;8
Neue Babylon Berlin GmbH;131.063;150.764;8
