PLZ;Bezirk
10585;Charlottenburg-Wilmersdorf
10587;Charlottenburg-Wilmersdorf
10589;Charlottenburg-Wilmersdorf
10623;Charlottenburg-Wilmersdorf
10625;Charlottenburg-Wilmersdorf
10627;Charlottenburg-Wilmersdorf
10629;Charlottenburg-Wilmersdorf
10707;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10719;Charlottenburg-Wilmersdorf
10787;Charlottenburg-Wilmersdorf
10789;Charlottenburg-Wilmersdorf
14050;Charlottenburg-Wilmersdorf
14055;Charlottenburg-Wilmersdorf
14057;Charlottenburg-Wilmersdorf
14059;Charlottenburg-Wilmersdorf
10589;Charlottenburg-Wilmersdorf
13353;Charlottenburg-Wilmersdorf
13627;Charlottenburg-Wilmersdorf
13629;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
14055;Charlottenburg-Wilmersdorf
14193;Charlottenburg-Wilmersdorf
14195;Charlottenburg-Wilmersdorf
14199;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10713;Charlottenburg-Wilmersdorf
14193;Charlottenburg-Wilmersdorf
14195;Charlottenburg-Wilmersdorf
14197;Charlottenburg-Wilmersdorf
14199;Charlottenburg-Wilmersdorf
14050;Charlottenburg-Wilmersdorf
14052;Charlottenburg-Wilmersdorf
14053;Charlottenburg-Wilmersdorf
14055;Charlottenburg-Wilmersdorf
14057;Charlottenburg-Wilmersdorf
14059;Charlottenburg-Wilmersdorf
10707;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10713;Charlottenburg-Wilmersdorf
10715;Charlottenburg-Wilmersdorf
10717;Charlottenburg-Wilmersdorf
10719;Charlottenburg-Wilmersdorf
10777;Charlottenburg-Wilmersdorf
10779;Charlottenburg-Wilmersdorf
10789;Charlottenburg-Wilmersdorf
10825;Charlottenburg-Wilmersdorf
14195;Charlottenburg-Wilmersdorf
14197;Charlottenburg-Wilmersdorf
14199;Charlottenburg-Wilmersdorf
10243;Friedrichshain-Kreuzberg
10179;Friedrichshain-Kreuzberg
10245;Friedrichshain-Kreuzberg
10317;Friedrichshain-Kreuzberg
10247;Friedrichshain-Kreuzberg
10249;Friedrichshain-Kreuzberg
10178;Friedrichshain-Kreuzberg
10179;Friedrichshain-Kreuzberg
10961;Friedrichshain-Kreuzberg
10969;Friedrichshain-Kreuzberg
10963;Friedrichshain-Kreuzberg
10785;Friedrichshain-Kreuzberg
10965;Friedrichshain-Kreuzberg
10967;Friedrichshain-Kreuzberg
10997;Friedrichshain-Kreuzberg
10999;Friedrichshain-Kreuzberg
12681;Lichtenberg Hohenschoenhausen
13051;Lichtenberg Hohenschoenhausen
13053;Lichtenberg Hohenschoenhausen
13055;Lichtenberg Hohenschoenhausen
10367;Lichtenberg Hohenschoenhausen
10369;Lichtenberg Hohenschoenhausen
10315;Lichtenberg Hohenschoenhausen
10317;Lichtenberg Hohenschoenhausen
10319;Lichtenberg Hohenschoenhausen
10315;Lichtenberg Hohenschoenhausen
10365;Lichtenberg Hohenschoenhausen
10367;Lichtenberg Hohenschoenhausen
10317;Lichtenberg Hohenschoenhausen
10369;Lichtenberg Hohenschoenhausen
10317;Lichtenberg Hohenschoenhausen
10318;Lichtenberg Hohenschoenhausen
13051;Lichtenberg Hohenschoenhausen
13051;Lichtenberg Hohenschoenhausen
13053;Lichtenberg Hohenschoenhausen
13057;Lichtenberg Hohenschoenhausen
13059;Lichtenberg Hohenschoenhausen
10315;Lichtenberg Hohenschoenhausen
10317;Lichtenberg Hohenschoenhausen
10318;Lichtenberg Hohenschoenhausen
10365;Lichtenberg Hohenschoenhausen
13051;Lichtenberg Hohenschoenhausen
13059;Lichtenberg Hohenschoenhausen
12683;Marzahn-Hellersdorf
12685;Marzahn-Hellersdorf
12555;Marzahn-Hellersdorf
12619;Marzahn-Hellersdorf
12621;Marzahn-Hellersdorf
12623;Marzahn-Hellersdorf
12619;Marzahn-Hellersdorf
12621;Marzahn-Hellersdorf
12627;Marzahn-Hellersdorf
12629;Marzahn-Hellersdorf
12679;Marzahn-Hellersdorf
12681;Marzahn-Hellersdorf
12683;Marzahn-Hellersdorf
12685;Marzahn-Hellersdorf
12687;Marzahn-Hellersdorf
12689;Marzahn-Hellersdorf
12621;Marzahn-Hellersdorf
12623;Marzahn-Hellersdorf
13347;Berlin Mitte
13353;Berlin Mitte
13355;Berlin Mitte
13357;Berlin Mitte
13359;Berlin Mitte
13409;Berlin Mitte
10555;Berlin Mitte
10557;Berlin Mitte
10115;Berlin Mitte
10117;Berlin Mitte
10119;Berlin Mitte
10178;Berlin Mitte
10179;Berlin Mitte
10435;Berlin Mitte
10551;Berlin Mitte
10553;Berlin Mitte
10555;Berlin Mitte
10557;Berlin Mitte
10559;Berlin Mitte
13353;Berlin Mitte
10117;Berlin Mitte
10557;Berlin Mitte
10623;Berlin Mitte
10785;Berlin Mitte
10787;Berlin Mitte
10963;Berlin Mitte
13347;Berlin Mitte
13349;Berlin Mitte
13351;Berlin Mitte
13353;Berlin Mitte
13357;Berlin Mitte
13359;Berlin Mitte
13405;Berlin Mitte
13407;Berlin Mitte
13409;Berlin Mitte
12051;Berlin Neukoelln
12057;Berlin Neukoelln
12099;Berlin Neukoelln
12347;Berlin Neukoelln
12349;Berlin Neukoelln
